"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
China,200654,1580,4725.0,39,166398.0,2672,29531.0,236.0,139.0,3.0,160000000.0,111163.0,1439323776.0,Asia
USA,82698955,28904,1018441.0,50,80465351.0,30438,1215163.0,1426.0,247219.0,3045.0,1000491407.0,2990853.0,334517050.0,North America
India,43060086,2541,522223.0,30,42521341.0,1862,16522.0,698.0,30657.0,372.0,834717702.0,594287.0,1404569267.0,Asia
Brazil,30349463,3809,662701.0,38,29384354.0,19954,302408.0,8318.0,140967.0,3078.0,63776166.0,296227.0,215295185.0,South America
France,28303931,58954,145060.0,40,25880480.0,27573,2278391.0,1677.0,431890.0,2213.0,266484045.0,4066284.0,65535026.0,Europe
Germany,24140700,31267,134646.0,22,21243000.0,63600,2763054.0,1980.0,286472.0,1598.0,122332384.0,1451689.0,84269009.0,Europe
UK,21967616,10581,173579.0,114,20782350.0,68278,1011687.0,339.0,320547.0,2533.0,514985782.0,7514564.0,68531691.0,Europe
Russia,18137137,8446,374902.0,168,17474628.0,10508,287607.0,2300.0,124186.0,2567.0,273400000.0,1871990.0,146047759.0,Europe
S. Korea,16895194,64725,22133.0,109,,,,726.0,329026.0,431.0,15804065.0,307777.0,51349072.0,Asia
Italy,16136461,56667,162688.0,79,14729220.0,44849,1244553.0,416.0,267599.0,2698.0,211691841.0,3510594.0,60300862.0,Europe
Turkey,15018547,2277,98691.0,15,14870422.0,15947,49434.0,975.0,174670.0,1148.0,158238176.0,1840360.0,85982165.0,Asia
Spain,11786036,,103908.0,,11261340.0,,420788.0,339.0,251905.0,2221.0,471036328.0,10067554.0,46787566.0,Europe
Vietnam,10564355,8814,43013.0,9,9086075.0,4581,1435267.0,612.0,106792.0,435.0,85789114.0,867220.0,98924302.0,Asia
Argentina,9072230,1616,128542.0,29,8895999.0,,47689.0,372.0,197451.0,2798.0,35716069.0,777338.0,45946666.0,South America
Netherlands,8039217,1578,22221.0,5,7643520.0,39086,373476.0,94.0,467301.0,1292.0,21107399.0,1226923.0,17203518.0,Europe
Japan,7621562,43721,29284.0,27,7135403.0,57313,456875.0,195.0,60597.0,233.0,46690473.0,371221.0,125775499.0,Asia
Iran,7216040,528,140975.0,13,6966954.0,2963,108111.0,1046.0,83967.0,1640.0,50811054.0,591244.0,85939287.0,Asia
Colombia,6091343,249,139778.0,7,5924745.0,312,26820.0,342.0,117447.0,2695.0,34371690.0,662717.0,51864812.0,South America
Indonesia,6044150,382,156100.0,33,5870419.0,2168,17631.0,2771.0,21682.0,560.0,94904806.0,340453.0,278760259.0,Asia
Poland,5991197,344,115948.0,,5334374.0,34,540875.0,1588.0,158617.0,3070.0,36027053.0,953814.0,37771563.0,Europe
Mexico,5733514,802,324117.0,57,5033892.0,654,375505.0,4798.0,43639.0,2467.0,15762889.0,119974.0,131385329.0,North America
Australia,5689377,34769,6989.0,19,5313222.0,39025,369166.0,135.0,218523.0,268.0,68845476.0,2644288.0,26035545.0,Australia/Oceania
Ukraine,4998293,301,108326.0,8,,,,177.0,115546.0,2504.0,19521252.0,451274.0,43258121.0,Europe
Malaysia,4431073,4006,35499.0,8,4320822.0,10223,74752.0,98.0,133802.0,1072.0,58381292.0,1762893.0,33116757.0,Asia
Thailand,4165874,17784,27778.0,126,3954945.0,22846,183151.0,1496.0,59413.0,396.0,17270775.0,246313.0,70117100.0,Asia
Austria,4104859,5810,18047.0,12,3989860.0,10297,96952.0,121.0,451111.0,1983.0,181825734.0,19982073.0,9099443.0,Europe
Israel,4057772,3430,10670.0,12,4009152.0,,37950.0,220.0,435103.0,1144.0,41373364.0,4436346.0,9326000.0,Asia
Belgium,4015791,,31319.0,,3726457.0,16162,258015.0,169.0,343790.0,2681.0,33456470.0,2864191.0,11680949.0,Europe
Czechia,3895557,913,40095.0,9,3838028.0,3407,17434.0,43.0,362548.0,3732.0,55117064.0,5129577.0,10744953.0,Europe
Portugal,3791744,,22162.0,,,,,61.0,373833.0,2185.0,41021678.0,4044380.0,10142883.0,Europe
South Africa,3762911,3222,100303.0,5,3633297.0,725,29311.0,175.0,62030.0,1653.0,24332659.0,401115.0,60662476.0,Africa
Canada,3699683,4098,38783.0,6,3429274.0,3192,231626.0,426.0,96493.0,1012.0,60536359.0,1578881.0,38341304.0,North America
Philippines,3684499,204,60182.0,3,3610658.0,1233,13659.0,289.0,32832.0,536.0,29427586.0,262228.0,112221547.0,Asia
Switzerland,3579867,,13816.0,,3378507.0,19775,187544.0,90.0,408231.0,1576.0,20666182.0,2356673.0,8769219.0,Europe
Peru,3560876,781,212742.0,6,,,,346.0,105341.0,6294.0,29659485.0,877412.0,33803361.0,South America
Chile,3546493,2030,57375.0,,3378195.0,9399,110923.0,263.0,182684.0,2955.0,36755151.0,1893297.0,19413303.0,South America
Greece,3277557,,28867.0,,3151717.0,,96973.0,277.0,317258.0,2794.0,78872546.0,7634636.0,10330885.0,Europe
Denmark,2959972,932,6084.0,12,2930717.0,1614,23171.0,15.0,507789.0,1044.0,127150212.0,21812882.0,5829134.0,Europe
Romania,2888318,494,65427.0,6,2606660.0,,216231.0,216.0,151974.0,3443.0,22594702.0,1188858.0,19005377.0,Europe
Sweden,2498388,,18656.0,,2464421.0,1335,15311.0,19.0,244621.0,1827.0,18493218.0,1810702.0,10213286.0,Europe
Iraq,2324223,82,25205.0,1,2296270.0,323,2748.0,22.0,55529.0,602.0,18453588.0,440883.0,41856010.0,Asia
Serbia,2001654,510,15956.0,3,1969132.0,1346,16566.0,27.0,230774.0,1840.0,9432261.0,1087461.0,8673656.0,Europe
Bangladesh,1952556,24,29127.0,,1893460.0,329,29969.0,1297.0,11646.0,174.0,13961944.0,83275.0,167660051.0,Asia
Hungary,1890953,,46048.0,,1776617.0,,68288.0,45.0,196648.0,4789.0,11295119.0,1174624.0,9615941.0,Europe
Slovakia,1774808,1155,19839.0,10,1730712.0,2156,24257.0,88.0,324793.0,3631.0,7057901.0,1291608.0,5464430.0,Europe
Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163117.0,1353.0,16670254.0,1604988.0,10386526.0,Asia
Georgia,1654255,92,16800.0,3,1635791.0,241,1664.0,,416133.0,4226.0,16807205.0,4227904.0,3975304.0,Asia
Pakistan,1527856,105,30369.0,,1493998.0,,3489.0,186.0,6682.0,133.0,28048307.0,122666.0,228655763.0,Asia
Ireland,1511754,705,6996.0,,1415949.0,9147,88809.0,41.0,300091.0,1389.0,12016948.0,2385429.0,5037647.0,Europe
Norway,1423629,120,2871.0,,,,,20.0,258936.0,522.0,11002430.0,2001172.0,5497994.0,Europe
Kazakhstan,1305457,10,13660.0,,1290988.0,13,809.0,24.0,68052.0,712.0,11575012.0,603389.0,19183330.0,Asia
Hong Kong,1201860,429,9249.0,13,,,,115.0,157992.0,1216.0,44972952.0,5911966.0,7607106.0,Asia
Singapore,1182168,2044,1325.0,,1112762.0,,68081.0,8.0,199231.0,223.0,23712995.0,3996360.0,5933649.0,Asia
Morocco,1164700,30,16065.0,,1148225.0,71,410.0,293.0,30892.0,426.0,11237010.0,298043.0,37702632.0,Africa
Bulgaria,1153129,237,36854.0,5,959593.0,51,156682.0,105.0,168248.0,5377.0,9799054.0,1429734.0,6853760.0,Europe
Croatia,1117735,560,15782.0,4,1097448.0,619,4505.0,23.0,275342.0,3888.0,4765135.0,1173841.0,4059437.0,Europe
Cuba,1101731,245,8525.0,2,1091901.0,298,1305.0,23.0,97377.0,753.0,12920253.0,1141960.0,11314099.0,North America
Lebanon,1096406,86,10375.0,1,1079455.0,,6576.0,186.0,161948.0,1532.0,4795578.0,708346.0,6770111.0,Asia
Lithuania,1054620,429,9066.0,12,1016503.0,445,29051.0,31.0,397438.0,3417.0,8217113.0,3096655.0,2653545.0,Europe
Tunisia,1039532,,28533.0,,,,,29.0,86322.0,2369.0,4563397.0,378940.0,12042521.0,Africa
Slovenia,1004472,495,6578.0,2,981300.0,796,16594.0,33.0,483046.0,3163.0,2640751.0,1269925.0,2079455.0,Europe
Finland,1000472,,3638.0,,46000.0,,950834.0,31.0,180061.0,655.0,10644579.0,1915766.0,5556304.0,Europe
Nepal,978743,11,11951.0,,966523.0,25,269.0,,32532.0,397.0,5616752.0,186694.0,30085409.0,Asia
Belarus,977813,379,6926.0,4,928536.0,,42351.0,,103541.0,733.0,13103056.0,1387493.0,9443695.0,Europe
Bolivia,904446,152,21908.0,1,855488.0,913,27050.0,220.0,75614.0,1832.0,2693845.0,225214.0,11961287.0,South America
UAE,897136,244,2302.0,,879787.0,361,15047.0,,88766.0,228.0,154420740.0,15278974.0,10106748.0,Asia
Uruguay,895775,,7197.0,,886654.0,,1924.0,18.0,256263.0,2059.0,6091188.0,1742566.0,3495527.0,South America
New Zealand,884289,5714,636.0,9,824272.0,5986,59381.0,,176784.0,127.0,6983031.0,1396020.0,5002100.0,Australia/Oceania
Ecuador,868285,56,35581.0,,,,,759.0,47897.0,1963.0,2470170.0,136262.0,18128046.0,South America
Costa Rica,847784,,8383.0,,829515.0,,9886.0,43.0,163717.0,1619.0,4240743.0,818939.0,5178340.0,North America
Guatemala,842572,203,17520.0,6,822541.0,288,2511.0,5.0,45506.0,946.0,4402305.0,237764.0,18515442.0,North America
Latvia,817316,322,5743.0,,803135.0,457,8438.0,9.0,442162.0,3107.0,7154016.0,3870272.0,1848453.0,Europe
Azerbaijan,792496,20,9707.0,,782646.0,12,143.0,,76907.0,942.0,6794952.0,659407.0,10304643.0,Asia
Panama,771819,333,8182.0,,760199.0,367,3438.0,8.0,173922.0,1844.0,5832022.0,1314192.0,4437724.0,North America
Saudi Arabia,753417,85,9078.0,2,740672.0,205,3667.0,48.0,21048.0,254.0,41827109.0,1168507.0,35795358.0,Asia
